Profile,Total_Flow_Area,Velocity_WUA,Depth_WUA,Combined_WUA,Velocity_Weighted_Avg_SI,Depth_Weighted_Avg_SI,Combined_Weighted_Avg_HSI,Fish,Weight
1,121953.93243122083,40566.738772729324,37.58457729559888,0.0,0.3326398580513836,0.0003081866779227944,0.0,Fish1,0.5
2,86114.79604363425,7031.426619453381,100.82715913260539,14.766767385505878,0.08165178276553738,0.0011708459378051176,0.00017147770260088146,Fish1,0.5
3,81136.8468791245,3970.9768206136255,115.4216142060858,33.70936708872675,0.048941719740840814,0.0014225548397023345,0.00041546311429807055,Fish1,0.5
4,78285.46661508072,2642.3917054533977,116.80339753409463,39.26194710987158,0.03375328550375369,0.001492018922342272,0.0005015228088620507,Fish1,0.5
5,76428.66607981907,1871.6931737139312,114.2498783882237,35.82573045801485,0.024489413066024323,0.0014948563706306958,0.0004687472946420376,Fish1,0.5
6,75045.75799906242,1374.6775039517438,110.06430573071685,32.17409823017571,0.018317857539248496,0.0014666292761289976,0.00042872640756826884,Fish1,0.5
7,73073.64983746398,858.3835936197099,131.0795191896416,28.879633709085734,0.011746827967796773,0.0017938000836306756,0.00039521268984540984,Fish1,0.5
8,70687.58665129532,439.6490598550229,150.88103879279493,20.89084006825311,0.006219607722977292,0.002134477154201021,0.00029553760508628556,Fish1,0.5
1,121953.93243122083,40566.738772729324,2532.495220264141,1230.630652577917,0.3326398580513836,0.020765998847084403,0.010090946868580593,Fish2,0.3
2,86114.79604363425,7031.426619453381,2992.9378956292685,787.6140808022521,0.08165178276553738,0.03475521087122764,0.009146094712959305,Fish2,0.3
3,81136.8468791245,3970.9768206136255,2904.758158452042,502.3308476336585,0.048941719740840814,0.035800727661742554,0.006191155645745238,Fish2,0.3
4,78285.46661508072,2642.3917054533977,2990.0502606523746,382.0632915817488,0.03375328550375369,0.038194193506619255,0.004880385952865344,Fish2,0.3
5,76428.66607981907,1871.6931737139312,3100.793170656446,296.57924077068174,0.024489413066024323,0.04057107535303704,0.0038804712417844127,Fish2,0.3
6,75045.75799906242,1374.6775039517438,3140.347908951078,224.838076361757,0.018317857539248496,0.04184577506686403,0.0029960131306098073,Fish2,0.3
7,73073.64983746398,858.3835936197099,3073.7257412088447,136.5971166584836,0.011746827967796773,0.042063394233703415,0.001869307431096071,Fish2,0.3
8,70687.58665129532,439.6490598550229,2786.3908781352247,70.47270569025821,0.006219607722977292,0.03941839027381996,0.0009969601315985347,Fish2,0.3
1,121953.93243122083,40566.738772729324,37.58457729559888,0.0,0.3326398580513836,0.0003081866779227944,0.0,Fish3,0.2
2,86114.79604363425,7031.426619453381,100.82715913260539,14.766767385505878,0.08165178276553738,0.0011708459378051176,0.00017147770260088146,Fish3,0.2
3,81136.8468791245,3970.9768206136255,115.4216142060858,33.70936708872675,0.048941719740840814,0.0014225548397023345,0.00041546311429807055,Fish3,0.2
4,78285.46661508072,2642.3917054533977,116.80339753409463,39.26194710987158,0.03375328550375369,0.001492018922342272,0.0005015228088620507,Fish3,0.2
5,76428.66607981907,1871.6931737139312,114.2498783882237,35.82573045801485,0.024489413066024323,0.0014948563706306958,0.0004687472946420376,Fish3,0.2
6,75045.75799906242,1374.6775039517438,110.06430573071685,32.17409823017571,0.018317857539248496,0.0014666292761289976,0.00042872640756826884,Fish3,0.2
7,73073.64983746398,858.3835936197099,131.0795191896416,28.879633709085734,0.011746827967796773,0.0017938000836306756,0.00039521268984540984,Fish3,0.2
8,70687.58665129532,439.6490598550229,150.88103879279493,20.89084006825311,0.006219607722977292,0.002134477154201021,0.00029553760508628556,Fish3,0.2
